iter	Passed	Remaining
0	19	1563
1	43	1682
2	84	2158
3	136	2591
4	190	2850
5	243	3007
6	291	3042
7	339	3055
8	425	3355
9	473	3315
10	517	3248
11	568	3219
12	621	3200
13	686	3234
14	728	3158
15	775	3102
16	822	3048
17	862	2971
18	891	2860
19	937	2811
20	983	2762
21	1035	2730
22	1077	2670
23	1122	2618
24	1164	2562
25	1204	2501
26	1257	2468
27	1305	2424
28	1366	2403
29	1420	2366
30	1468	2321
31	1520	2280
32	1560	2221
33	1603	2170
34	1648	2119
35	1688	2063
36	1726	2006
37	1775	1962
38	1814	1907
39	1853	1853
40	1891	1799
41	1950	1765
42	1989	1712
43	2051	1678
44	2096	1630
45	2142	1583
46	2181	1531
47	2219	1479
48	2257	1428
49	2311	1386
50	2366	1345
51	2416	1301
52	2479	1263
53	2531	1218
54	2580	1172
55	2627	1126
56	2677	1080
57	2721	1032
58	2765	984
59	2810	936
60	2852	888
61	2897	841
62	2939	793
63	2981	745
64	3030	699
65	3100	657
66	3151	611
67	3197	564
68	3259	519
69	3310	472
70	3350	424
71	3401	377
72	3450	330
73	3504	284
74	3557	237
75	3605	189
76	3656	142
77	3700	94
78	3747	47
79	3795	0
