iter	Passed	Remaining
0	46	23344
1	80	20150
2	131	21818
3	160	19870
4	211	20897
5	273	22525
6	335	23634
7	405	24920
8	461	25159
9	521	25561
10	562	24990
11	603	24526
12	642	24055
13	679	23590
14	733	23720
15	772	23366
16	828	23528
17	887	23753
18	951	24089
19	1015	24363
20	1057	24125
21	1100	23903
22	1155	23956
23	1198	23761
24	1245	23660
25	1292	23558
26	1325	23224
27	1384	23342
28	1436	23325
29	1466	22971
30	1511	22860
31	1599	23390
32	1673	23678
33	1710	23445
34	1768	23489
35	1837	23683
36	1919	24017
37	1978	24058
38	2022	23901
39	2058	23678
40	2128	23832
41	2193	23920
42	2237	23777
43	2295	23789
44	2357	23834
45	2420	23891
46	2481	23913
47	2554	24053
48	2617	24089
49	2656	23907
50	2727	24016
51	2806	24176
52	2838	23942
53	2908	24022
54	2943	23818
55	2979	23622
56	3054	23741
57	3104	23655
58	3145	23511
59	3234	23722
60	3269	23531
61	3317	23439
62	3378	23435
63	3415	23269
64	3480	23294
65	3515	23115
66	3575	23107
67	3619	22992
68	3722	23254
69	3802	23358
70	3869	23382
71	3937	23406
72	4007	23442
73	4087	23529
74	4181	23696
75	4237	23638
76	4284	23535
77	4337	23467
78	4397	23432
79	4474	23490
80	4545	23512
81	4610	23502
82	4644	23334
83	4701	23282
84	4752	23204
85	4792	23068
86	4853	23039
87	4902	22950
88	4972	22965
89	5005	22802
90	5037	22641
91	5086	22555
92	5152	22547
93	5202	22470
94	5272	22477
95	5340	22474
96	5405	22456
97	5463	22413
98	5502	22288
99	5544	22177
100	5609	22162
101	5680	22165
102	5735	22106
103	5798	22079
104	5866	22071
105	5911	21974
106	5991	22004
107	6052	21968
108	6107	21909
109	6167	21867
110	6235	21852
111	6290	21792
112	6374	21830
113	6412	21713
114	6467	21653
115	6543	21661
116	6614	21652
117	6653	21540
118	6754	21624
119	6818	21591
120	6877	21542
121	6947	21527
122	7013	21498
123	7059	21406
124	7131	21393
125	7196	21361
126	7249	21290
127	7340	21333
128	7403	21291
129	7479	21287
130	7547	21259
131	7633	21280
132	7712	21281
133	7772	21229
134	7838	21192
135	7867	21056
136	7899	20931
137	7957	20873
138	8007	20797
139	8043	20683
140	8073	20555
141	8119	20470
142	8171	20399
143	8219	20321
144	8299	20318
145	8355	20259
146	8435	20257
147	8479	20167
148	8538	20114
149	8564	19983
150	8657	20009
151	8734	19998
152	8777	19907
153	8841	19865
154	8905	19822
155	8982	19808
156	9047	19765
157	9131	19765
158	9193	19716
159	9261	19680
160	9343	19674
161	9429	19673
162	9497	19636
163	9566	19599
164	9621	19533
165	9676	19468
166	9723	19388
167	9798	19363
168	9853	19298
169	9910	19237
170	9972	19187
171	10011	19091
172	10078	19050
173	10122	18965
174	10160	18870
175	10224	18823
176	10276	18753
177	10333	18692
178	10425	18696
179	10471	18615
180	10511	18526
181	10571	18471
182	10614	18387
183	10681	18344
184	10728	18267
185	10794	18222
186	10860	18178
187	10920	18124
188	10983	18073
189	11061	18047
190	11111	17976
191	11169	17917
192	11255	17903
193	11319	17854
194	11376	17794
195	11456	17768
196	11512	17706
197	11578	17660
198	11647	17618
199	11734	17601
200	11788	17535
201	11852	17486
202	11929	17454
203	12001	17414
204	12067	17365
205	12115	17290
206	12177	17236
207	12249	17196
208	12343	17185
209	12418	17148
210	12496	17115
211	12532	17025
212	12620	17004
213	12702	16975
214	12769	16926
215	12855	16902
216	12927	16859
217	12989	16802
218	13041	16733
219	13105	16679
220	13151	16603
221	13205	16535
222	13285	16502
223	13356	16457
224	13434	16419
225	13490	16355
226	13558	16305
227	13616	16244
228	13660	16165
229	13717	16103
230	13810	16081
231	13885	16039
232	13922	15954
233	13995	15909
234	14063	15859
235	14135	15812
236	14196	15753
237	14250	15687
238	14294	15610
239	14350	15546
240	14409	15485
241	14468	15424
242	14531	15368
243	14597	15315
244	14672	15271
245	14731	15210
246	14816	15176
247	14869	15109
248	14912	15032
249	14975	14975
250	15072	14952
251	15124	14884
252	15165	14805
253	15234	14754
254	15322	14722
255	15389	14667
256	15444	14603
257	15510	14548
258	15565	14483
259	15607	14406
260	15685	14363
261	15748	14305
262	15792	14231
263	15856	14175
264	15893	14094
265	15968	14047
266	16047	14004
267	16119	13953
268	16180	13894
269	16252	13844
270	16343	13810
271	16379	13729
272	16469	13694
273	16507	13615
274	16571	13558
275	16629	13496
276	16708	13451
277	16775	13395
278	16852	13348
279	16914	13290
280	16992	13243
281	17058	13186
282	17137	13141
283	17206	13086
284	17247	13011
285	17312	12954
286	17384	12902
287	17414	12818
288	17482	12764
289	17548	12707
290	17619	12654
291	17664	12583
292	17699	12504
293	17749	12436
294	17819	12383
295	17882	12324
296	17949	12268
297	18006	12205
298	18090	12161
299	18155	12103
300	18226	12049
301	18287	11990
302	18366	11941
303	18415	11873
304	18494	11824
305	18601	11793
306	18707	11761
307	18767	11699
308	18834	11642
309	18911	11591
310	18972	11530
311	19043	11474
312	19150	11441
313	19234	11393
314	19303	11336
315	19380	11284
316	19451	11229
317	19543	11185
318	19639	11143
319	19726	11096
320	19788	11034
321	19854	10975
322	19929	10921
323	19998	10863
324	20093	10819
325	20181	10771
326	20245	10711
327	20340	10666
328	20408	10607
329	20498	10559
330	20568	10501
331	20643	10446
332	20719	10390
333	20800	10338
334	20899	10293
335	20994	10247
336	21086	10199
337	21176	10149
338	21237	10086
339	21303	10025
340	21383	9970
341	21459	9914
342	21558	9867
343	21645	9815
344	21708	9753
345	21803	9704
346	21884	9649
347	21955	9589
348	22019	9526
349	22106	9474
350	22178	9414
