iter	Passed	Remaining
0	28	2820
1	67	3304
2	86	2795
3	115	2766
4	150	2853
5	203	3192
6	226	3014
7	265	3056
8	293	2972
9	336	3026
10	375	3036
11	394	2895
12	431	2886
13	465	2860
14	489	2776
15	518	2722
16	554	2705
17	569	2595
18	588	2510
19	602	2411
20	617	2321
21	647	2296
22	677	2266
23	700	2218
24	725	2176
25	774	2203
26	810	2190
27	859	2210
28	908	2224
29	963	2247
30	974	2168
31	991	2107
32	1041	2113
33	1066	2069
34	1112	2065
35	1161	2064
36	1191	2028
37	1206	1968
38	1241	1941
39	1284	1926
40	1310	1886
41	1353	1868
42	1363	1807
43	1405	1789
44	1426	1743
45	1435	1685
46	1453	1639
47	1488	1612
48	1546	1609
49	1565	1565
50	1613	1549
51	1633	1508
52	1672	1483
53	1696	1445
54	1731	1416
55	1776	1395
56	1799	1357
57	1816	1315
58	1838	1277
59	1851	1234
60	1867	1194
61	1909	1170
62	1925	1130
63	1959	1102
64	1974	1062
65	2008	1034
66	2044	1006
67	2061	970
68	2085	937
69	2136	915
70	2153	879
71	2195	853
72	2243	829
73	2262	794
74	2282	760
75	2299	726
76	2317	692
77	2346	661
78	2366	629
79	2401	600
80	2420	567
81	2440	535
82	2459	503
83	2478	472
84	2514	443
85	2528	411
86	2548	380
87	2558	348
88	2602	321
89	2616	290
90	2636	260
91	2654	230
92	2666	200
93	2703	172
94	2713	142
95	2763	115
96	2793	86
97	2802	57
98	2831	28
99	2846	0
